group,govt
Popular Revolutionary Movement,Bolivia
MNR,Bolivia
ELN,Bolivia
Khmer Issarak,France
Peoples Liberation Army,China
DSE,Greece
Indonesian Peoples Army,Netherlands
Republic of Kurdistan/KDPI,Iran
KDPI,Iran
KDPI,Iran
Republic of Azerbaijan,Iran
IZL [Etzel],United Kingdom
Lao Issara,France
Communist Party of the Philippines,Philippines
"Military Faction (forces of Honasan, Abenina & Zumel)",Philippines
Huk,Philippines
Forest Brothers,Soviet Union
LTS[p]A,Soviet Union
LNPA,Soviet Union
BDPS,Soviet Union
UPA,Soviet Union
Viet Nam Doc Dong Min Hoi,France
Taiwanese insurgents,China
CPI,Hyderabad
MDRM,France
Military Faction (forces of General Rodriguez),Paraguay
Military faction (forces of General Alfredo Stroessner),Paraguay
"Opposition coalition [Febreristas, Liberals and Communists]",Paraguay
KNU,Myanmar
KNU,Myanmar
God's army,Myanmar
KNUP,Myanmar
KNUP,Myanmar
DKBA 5,Myanmar
BCP,Myanmar
BCP,Myanmar
BCP,Myanmar
ABSDF,Myanmar
Red Flag Movement,Myanmar
Red Flag Movement,Myanmar
PVO - White Band faction,Myanmar
Rohingya Solidarity Organisation,Myanmar
Arakan Rohingya Islamic Front,Myanmar
RPF,Myanmar
ALP,Myanmar
Arakan People's Liberation Party,Myanmar
Mujahid Party,Myanmar
Mujahid Party,Myanmar
ANLP,Myanmar
Communist Party of Arakan,Myanmar
NMSP,Myanmar
NMSP,Myanmar
BMA,Myanmar
MFL-MUF,Myanmar
MPF,Myanmar
National Liberation Army,Costa Rica
Naxalites/PWG,India
MCC,India
CPI_Maoist,India
CPI,India
Naxalites/CPI [-Marxist],India
Communist Party of Malaya,"United Kingdom, Australia, New Zealand"
Opposition coalition,Yemen [North]
Royalists,"Yemen [North], Egypt"
National Democratic Front,Yemen [North]
AQAP,Yemen
KIO,Myanmar
NA,Myanmar
PNDF,Myanmar
URNG,Guatemala
Military Faction,Guatemala
Forces of Carlos Castillo Armas,Guatemala
FAR,Guatemala
FAR,Guatemala
EGP,Guatemala
ORPA,Guatemala
MR-13/FAR II,Guatemala
Fatah,Israel
PIJ,Israel
PIJ,Israel
Hamas,Israel
Hamas,Israel
PFLP,Israel
PFLP,Israel
AMB,Israel
PNA,Israel
PNA,Israel
PFLP-GC,Israel
Popular Resistance Committees,Israel
Palestinian insurgents,Israel
Non PLO groups,Israel
Rejectionist Front,Israel
PLO/Fatah,Israel
Tibet,China
Tibet,China
Tibet,China
Republic of South Moluccas,Indonesia
Puerto Rican Nationalist Party,USA
Military Faction [Navy],Thailand
CPT,Thailand
Mau Mau,United Kingdom
Military Faction - 26th of July Movement,Cuba
Military Faction - 26th of July Movement,Cuba
National Revolutionary Council,Cuba
Darul Islam Movement,Indonesia
Darul Islam Movement,Indonesia
PRRI,Indonesia
Permesta movement,Indonesia
Istiqlal,France
National Liberation Army,France
FLN,France
MNA,France
Military faction (forces of Eduardo A. Lonardi Doucet),Argentina
Military faction (Colorados),Argentina
Montoneros,Argentina
ERP,Argentina
Military faction (forces of Samuel Toranzo Calderon),Argentina
EOKA,United Kingdom
FNL,"South Vietnam, USA"
NSCN,India
NSCN - K,India
NNC,India
KNPP,Myanmar
KNPP,Myanmar
KNPP,Myanmar
KNPP,Myanmar
KNPP,Myanmar
UPC,France
National Liberation Army,"France, Spain"
NLA,Spain
State of Oman/Free Oman,"Muscat and Oman, United Kingdom"
Supreme Council for the Islamic Revolution in Iraq (SCIRI),Iraq
Supreme Council for the Islamic Revolution in Iraq (SCIRI),Iraq
Al-Mahdi Army,Iraq
Ansar al-Islam,Iraq
ISI/Jamaat Al-Tawhid wa Al-Jihad,Iraq
ISI/Jamaat Al-Tawhid wa Al-Jihad,Iraq
ISI/Jamaat Al-Tawhid wa Al-Jihad,Iraq
RJF/Al-Jaysh al-Islami fi Iraq,Iraq
Military Faction (Free Officers Movement),Iraq
Military faction (forces of Abdul Wahab al-Shawaf),Iraq
Military faction (forces of Brigadier Arif),Iraq
NCRC,Iraq
Lebanese Army (Aoun),Lebanon
Lebanese Forces,Lebanon
Independent Nasserite Movement /Mourabitoun militia,Lebanon
Lebanese National Movement,Lebanon
Lebanese National Movement,Lebanon
Lebanese National Movement,Lebanon
LAA/Lebanese Arab Army,Lebanon
Amal,Lebanon
NUF,Lebanon
Lebanese Forces - Hobeika faction,Lebanon
CPM,Malaysia
CPM,Malaysia
CPM,Malaysia
LRM,Laos
Pathet Lao,"Laos, United States, Thailand, South Vietnam"
Neutrals,"Laos, Thailand"
MPLA,Portugal
FNLA,Portugal
UNITA,Portugal
Shan State Army - South (SSA-S),Myanmar
MTA,Myanmar
MTA,Myanmar
NSH,Myanmar
SSIA,Myanmar
SNUF,Myanmar
SSA,Myanmar
SURA,Myanmar
SURA,Myanmar
SSNPLO,Myanmar
SSRA,Myanmar
TRC,Myanmar
SSPP,Myanmar (Burma)
Katanga,Democratic Republic of Congo (Zaire)
Independent Mining State of South Kasai,Democratic Republic of Congo (Zaire)
TPLF,Ethiopia
EPDM,Ethiopia
EPRDF,Ethiopia
Military faction (forces of Amsha Desta and Merid Negusie),Ethiopia
EPRP,Ethiopia
EPRP,Ethiopia
EDU,Ethiopia
Military faction (forces of Mengistu Neway),Ethiopia
CPN-M/UPF,Nepal
Nepali Congress,Nepal
OAS,France
KDP/DPK,Iraq
KDP/DPK,Iraq
KDP/DPK,Iraq
PUK,Iraq
PUK,Iraq
KDP - QM,Iraq
North Kalimantan Liberation Army,United Kingdom
EPLF,Ethiopia
EPLF,Ethiopia
ELF,Ethiopia
ELF,Ethiopia
Military faction (forces of Hugo Chavez),Venezuela
Military Faction,Venezuela
Bandera Roja,Venezuela
PAIGC,Portugal
CCO,Malaysia
Anya Nya,Sudan
AFDL,Democratic Republic of Congo (Zaire)
RCD,"Congo/Zaire, Zimbabwe, Angola, Namibia, Chad"
MLC,"Congo/Zaire, Zimbabwe, Angola, Namibia, Chad"
CNDP,Democratic Republic of Congo (Zaire)
CNL,Democratic Republic of Congo (Zaire)
Opposition militias,Democratic Republic of Congo (Zaire)
FLNC,Democratic Republic of Congo (Zaire)
Military faction (forces loyal to Lon MBa),"Gabon, France"
Frelimo,Portugal
NLF,United Kingdom
FLOSY,United Kingdom
Palipehutu,Burundi
CNDD,Burundi
Frolina,Burundi
CNDD-FDD,Burundi
Palipehutu-FNL,Burundi
Military faction (forces loyal to Gervais Nyangoma),Burundi
Revolutionary Forces of 1 April,Chad
MOSANAT,Chad
Islamic Legion,Chad
CSNPD,Chad
CNR,Chad
MPS,Chad
FNT,Chad
MDD [-FANT],Chad
MDD [-FANT],Chad
FARF,Chad
MDJT,Chad
FUCD,Chad
RAFD,Chad
UFDD,Chad
FROLINAT,Chad
First Liberation Army,Chad
Second Liberation Army (Frolinat),Chad
FAN,Chad
FAP,Chad
FAT,Chad
GUNT,Chad
CDR,Chad
AN,Chad
Military faction (forces of Maldoum Bada Abbas),Chad
UFR,Chad
PFNR,Chad
FARC,Colombia
FARC,Colombia
ELN,Colombia
ELN,Colombia
EPL,Colombia
EPL,Colombia
M-19,Colombia
Military faction (Constitutionalists),Dominican Republic
OPM,Indonesia
OPM,Indonesia
OPM,Indonesia
Sendero Luminoso,Peru
Sendero Luminoso,Peru
MRTA,Peru
MIR,Peru
ELN,Peru
Military Faction,Ghana
Military faction (forces of Jerry John Rawlings),Ghana
Military faction (forces of Ekow Dennis and Edward Adjei-Ampofo) ,Ghana
MNF,India
Military faction (forces of Patrick Nzeogwu),Nigeria
Boko Haram,Nigeria
SWAPO,South Africa
Military faction (forces loyal to Nureddin Atassi and Youssef Zeayen),Syria
Muslim Brotherhood,Syria
Khmer Rouge,Cambodia
FUNK,Cambodia
Khmer Rouge/PDK,"Cambodia, Vietnam"
Khmer Rouge/PDK,"Cambodia, Vietnam"
KPNLF,"Cambodia, Vietnam"
KPNLF,"Cambodia, Vietnam"
FUNCINPEC/ANS,"Cambodia, Vietnam"
FUNCINPEC/ANS,"Cambodia, Vietnam"
FUNCINPEC,Cambodia
KNUFNS,Cambodia
Republic of Biafra,Nigeria
RFDG,Guinea
MILF,Philippines
MILF,Philippines
MNLF,Philippines
MNLF,Philippines
Abu Sayyaf,Philippines
MNLF _ NM,Philippines
MIM/Mindanao Independence Movement,Philippines
MNLF _ HM,Philippines
SLM/A,Sudan
SLM/A,Sudan
JEM,Sudan
JEM,Sudan
Sudanese Communist Party,Sudan
Islamic Charter Front,Sudan
NRF,Sudan
SLM/A _ MM,Sudan
SPLM,Sudan
Faction of SPLM,Sudan
SLM/A_Unity,Sudan
Forces of George Athor,Sudan
SPLM/A-North,Sudan
SSLM/A,Sudan
Monima National Independence Movement,Madagascar
Military faction (forces of Mohamed Madbouh),Morocco
Mukti Bahini: Liberation Force,Pakistan
JVP,Sri Lanka
JVP,Sri Lanka
UPA,Uganda
UPA,Uganda
HSM,Uganda
LRA,Uganda
LRA,Uganda
WNBF,Uganda
ADF,Uganda
ADF,Uganda
UNRF II,Uganda
Military faction (forces of Idi Amin),Uganda
Military faction (forces of Charles Arube),Uganda
UNLF,Uganda
UPM/NRA,Uganda
UFM/UFDM,Uganda
Kikosi Maalum,Uganda
Kikosi Maalum,Uganda
Fronasa,Uganda
FUNA,Uganda
UNRF,Uganda
UPDA,Uganda
Lord's Army,Uganda
PIRA/IRA,United Kingdom
Real IRA,United Kingdom
FMLN,El Salvador
FPL,El Salvador
ERP,El Salvador
Military faction (forces of Benjamin Mejia),El Salvador
PFLOAG,"Oman, Iran, Jordan, United Kingdom"
ZANU,Rhodesia
ZAPU,Rhodesia
ZAPU,Rhodesia
ZANU-PF,Rhodesia
MLN  or Tupamaros,Uruguay
"Military faction (forces of Augusto Pinochet, Toribio Merino and Leigh Guzman)",Chile
JSS/SB/Shanti Bahini,Bangladesh
Baluchi separatists,Pakistan
Baluch Ittehad,Pakistan
BLA/Baluchistan Liberation Army,Pakistan
BRA/Baluchistan Republican Army,Pakistan
EIJM,Eritrea
EIJM,Eritrea
UNITA,"Angola, Cuba"
UNITA,"Angola, Cuba"
UNITA,"Angola, Cuba"
UNITA,Angola
UNITA,Angola
UNITA,"Angola, Namibia"
